"BehaviorSpace results (NetLogo 3D 5.3)"
"projet.nlogo3d"
"experiment"
"11/24/2016 19:20:56:934 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","1","2","3","4","5","6"
"nbTypes","2","2","2","2","2","2"
"classRedAgents","4","4","4","4","4","4"
"classGreenAgents","4","4","4","4","4","4"
"classBlueAgents","0","0","0","0","0","0"
"nbYellowAgents","0","0","0","0","0","0"
"ColorDisplayMode","""Chromatic Scale""","""Chromatic Scale""","""Chromatic Scale""","""Chromatic Scale""","""Chromatic Scale""","""Chromatic Scale"""
"classBlackAgents","5","5","5","5","5","5"
"Window1","false","false","false","false","false","false"
"nbBlackAgents","0","6","56","333","667","1000"
"LagTime","1","1","1","1","1","1"
"X","50","50","50","50","50","50"
"Noise","false","false","false","false","false","false"
"classPurpleAgents","4","4","4","4","4","4"
"Window2","true","true","true","true","true","true"
"AverageEffort","1.60973","1.60973","1.60973","1.60973","1.60973","1.60973"
"nbGreenAgents","0","0","0","0","0","0"
"nbRedAgents","0","0","0","0","0","0"
"PercentageNoise","50","50","50","50","50","50"
"nbBlueAgents","0","0","0","0","0","0"
"Y","50","50","50","50","50","50"
"classYellowAgents","4","4","4","4","4","4"
"nbPurpleAgents","0","0","0","0","0","0"
"[steps]","500","500","500","500","500","500"

"[initial & final values]","mean [effort] of turtles","mean [effort] of turtles","mean [effort] of turtles","mean [effort] of turtles","mean [effort] of turtles","mean [effort] of turtles"
,"0.6159068984898423","0.6420922324365438","0.8469241099490059","1.8827616356867234","1.9864671056653653","2.00099999999998"
